id,weight,payout
1,72,0
2,582,180
3,3603,0
4,5059,0
5,3518,0
6,78,0
7,3610,600
8,4945,0
9,6673,0
10,3657,0
11,377,0
12,3574,0
13,84,0
14,398,0
15,4927,0
16,6574,0
17,664,350
18,407,0
19,75,0
20,748,0
21,716,300
22,3550,0
23,5073,0
24,418,720
25,413,120
26,86,1100
27,406,0
28,387,750
29,3516,0
30,697,0
31,766,250
32,77,0
33,720,0
34,377,0
35,704,950
36,684,0
37,573,180
38,56,0
39,382,0
40,445,0
41,687,0
42,699,0
43,755,250
44,679,0
45,742,350
46,548,0
47,562,150
48,438,150
49,694,0
50,559,0
51,84,0
52,378,800
53,428,0
54,568,200
55,713,0
56,73,0
57,385,120
58,556,150
59,580,0
60,559,200
61,577,0
62,73,0
63,66,0
64,677,850
65,378,0
66,408,180
67,92,0
68,73,500
69,633,0
70,75,0
71,75,0
72,392,200
73,430,0
74,85,0
75,71,0
76,65,0
77,353,0
78,77,470
79,449,0
80,84,1150
81,384,780
82,708,900
83,84,550
84,426,0
85,65,420
86,77,1100
87,525,120
88,554,0
89,65,0
90,72,0
91,374,0
92,709,300
93,78,0
94,699,0
95,94,0
96,103,0
97,388,180
98,386,150
99,86,1000
100,83,480
101,708,0
102,63,470
103,73,500
104,702,0
105,80,0
106,553,120
107,383,0
108,586,0
109,584,0
110,74,1070
111,402,0
112,103,0
113,86,0
114,92,530
115,80,0
116,390,200
117,78,0
118,86,0
119,89,0
120,83,0
121,71,500
122,70,480
123,86,0
124,84,400
125,85,1030
126,76,550
127,86,0
128,97,450
129,80,0
130,78,0
131,83,450
132,81,0
133,69,0
134,76,1050
135,83,1050
136,71,0
137,83,0
138,73,0
139,86,450
140,83,500
141,65,0
142,76,370
143,81,1130
144,72,0
145,72,430
146,70,970
147,83,0
148,76,370
149,74,0
150,63,530
151,66,0
152,75,1080
153,76,420
154,86,400
155,70,0
156,75,0
157,76,0
158,83,0
159,91,450
160,84,0
161,76,1020
162,63,430
