1,6684,0
2,438,0
3,6895,0
4,77,550
5,540,0
6,3601,0
7,3568,0
8,4986,0
9,88,0
10,3620,0
11,585,180
12,698,0
13,78,0
14,3525,0
15,86,0
16,5056,0
17,719,350
18,748,300
19,671,0
20,570,0
21,754,0
22,720,250
23,574,0
24,3441,0
25,3525,600
26,5067,0
27,75,0
28,387,0
29,556,200
30,592,0
31,3448,0
32,725,900
33,554,0
34,4948,0
35,544,0
36,396,200
37,88,0
38,718,0
39,547,120
40,88,530
41,550,120
42,517,180
43,83,0
44,686,0
45,743,0
46,486,150
47,81,0
48,682,0
49,86,0
50,556,150
51,82,0
52,420,120
53,744,0
54,88,0
55,406,0
56,387,780
57,396,180
58,361,200
59,79,500
60,399,0
61,730,0
62,661,0
63,78,0
64,702,350
65,612,0
66,394,800
67,410,0
68,84,0
69,395,0
70,413,750
71,386,0
72,717,250
73,414,150
74,706,950
75,86,0
76,78,430
77,711,0
78,750,0
79,66,0
80,392,0
81,79,400
82,65,420
83,92,470
84,722,300
85,66,550
86,583,0
87,542,200
88,384,0
89,79,1070
90,87,0
91,374,0
92,84,1150
93,401,180
94,81,1100
95,399,0
96,78,500
97,396,720
98,73,500
99,64,0
100,393,120
101,709,850
102,75,500
103,407,150
104,91,420
105,73,1050
106,81,0
107,398,0
108,76,450
109,81,450
110,373,0
111,410,0
112,380,0
113,375,0
114,92,0
115,56,970
116,75,0
117,86,0
118,72,0
119,74,1100
120,79,1000
121,79,0
122,72,480
123,78,0
124,89,450
125,70,0
126,68,470
127,79,0
128,89,1080
129,83,0
130,84,0
131,81,0
132,71,0
133,86,370
134,86,430
135,81,0
136,67,0
137,79,0
138,63,1130
139,87,0
140,81,400
141,89,0
142,74,0
143,69,0
144,86,0
145,86,450
146,86,0
147,69,370
148,76,1020
149,70,0
150,72,0
151,68,0
152,73,530
153,77,0
154,80,1030
155,94,480
156,82,1050
157,81,0
158,69,0
159,83,0
160,82,0
161,77,0
162,82,0
